service,attributes
Building Cleaning,"brief_description_optional,cleaning_frequency,location_area_block_landmark,provider_brings_supplies,service_level,size_bedroomsbathrooms_or_m²,space_type"
Car Key Making,"brief_description_optional,location_area_block_landmark,locksmith_door_type,locksmith_issue,urgent"
Car Unlocking,"brief_description_optional,location_area_block_landmark,locksmith_door_type,locksmith_issue,urgent"
Carpet and Rug Washing,"brief_description_optional,cleaning_frequency,location_area_block_landmark,provider_brings_supplies,service_level,size_bedroomsbathrooms_or_m²,space_type"
Cement,"brief_description_optional,location_area_block_landmark,material_type,quantityspecs"
Cement Insulation,"brief_description_optional,location_area_block_landmark,main_problem,preferred_insulation,roof_access_constraints,roof_area_m²"
Central AC Extension,"ac_issue,ac_unit_type,brief_description_optional,location_area_block_landmark,number_of_units"
Central Filter Installation,"brief_description_optional,location_area_block_landmark,tank_capacity_liters_if_known,tank_locationaccess,tank_type,water_tanks_service"
Central Heater Maintenance and Replacement,"brief_description_optional,location_area_block_landmark,number_of_fixtures_affected_if_applicable,plumber_access_constraints,plumber_service,water_cutoff_possible"
Central Satellite Extension,"brief_description_optional,dish_type,location_area_block_landmark,number_of_tvspoints_if_applicable,satellite_service"
Central Ventilation,"brief_description_optional,location_area_block_landmark,new_installation_or_repair,preferred_duct_material,system"
Ceramic,"area_m²,brief_description_optional,ceramic_service,location_area_block_landmark,remove_old_flooring,tile_size,who_supplies_tilesmaterials"
Chandelier Installation,"brief_description_optional,electrician_service,electrician_who_supplies_materials,fault_locationroom,how_many_pointslights_if_applicable,location_area_block_landmark"
Chimneys,"aluminum_access_constraints,aluminum_item,aluminum_job_type,approx_dimensions_per_piece_wh_cm,brief_description_optional,location_area_block_landmark,quantity_number_of_pieces"
Clothing Repair,"brief_description_optional,do_you_have_fabric,do_you_have_measurements,location_area_block_landmark,men_garment_type,number_of_pieces"
Compressor Repair,"ac_issue,ac_unit_type,brief_description_optional,location_area_block_landmark,number_of_units"
Compressor Replacement,"ac_issue,ac_unit_type,brief_description_optional,location_area_block_landmark,number_of_units"
Construction,"area_m²_size,brief_description_optional,builders_job_type,builders_who_supplies_materials,location_area_block_landmark,target_timeline"
Construction Tools,"brief_description_optional,location_area_block_landmark,material_type,quantityspecs"
Corporate Furniture Assembly,"brief_description_optional,carpenter_work_type,location_area_block_landmark,main_dimensions_cm,material_preference,number_of_pieces,wood_finish"
Crushed Stone,"brief_description_optional,location_area_block_landmark,material_type,quantityspecs"
Daraa Tailoring,"brief_description_optional,do_you_have_fabric,do_you_have_measurements,location_area_block_landmark,men_garment_type,number_of_pieces"
Decor,"area_or_dimensions_m²_or_lh,brief_description_optional,decoration_work_type,finishing_level,location_area_block_landmark"
Demolition,"area_m²_size,brief_description_optional,builders_job_type,builders_who_supplies_materials,location_area_block_landmark,target_timeline"
Disassembly and Assembly,"brief_description_optional,carpenter_work_type,location_area_block_landmark,main_dimensions_cm,material_preference,number_of_pieces,wood_finish"
Dishdasha Tailoring,"brief_description_optional,do_you_have_fabric,do_you_have_measurements,location_area_block_landmark,men_garment_type,number_of_pieces"
Dismantle and install,"brief_description_optional,elevatortruck_access_available,move_from_location_area_block_landmark,move_to_location_area_block_landmark,size,special_items"
Door Opening,"brief_description_optional,location_area_block_landmark,locksmith_door_type,locksmith_issue,urgent"
Drainage Clearing,"brief_description_optional,how_many_units_vents,issues_noticed,location_area_block_landmark,systems_to_clean,when_last_cleaned"
Dress Tailoring,"brief_description_optional,do_you_have_fabric,do_you_have_measurements,location_area_block_landmark,men_garment_type,number_of_pieces"
Dryer Repair,"appliance,appliance_issue,brief_description_optional,location_area_block_landmark,on_site_visit_or_carry_in"
Duct Cleaning,"ac_duct_issue,ac_unit_type,brief_description_optional,location_area_block_landmark,number_of_units"
Electrical Fault Repair,"brief_description_optional,electrician_service,electrician_who_supplies_materials,fault_locationroom,how_many_pointslights_if_applicable,location_area_block_landmark"
Eliminating Bad Odors,"brief_description_optional,location_area_block_landmark,number_of_fixtures_affected_if_applicable,plumber_access_constraints,plumber_service,water_cutoff_possible"
Expansions,"area_m²_size,brief_description_optional,builders_job_type,builders_who_supplies_materials,location_area_block_landmark,target_timeline"
Extensions,"brief_description_optional,electrician_service,electrician_who_supplies_materials,fault_locationroom,how_many_pointslights_if_applicable,location_area_block_landmark"
Extractors,"brief_description_optional,location_area_block_landmark,new_installation_or_repair,preferred_duct_material,system"
Facade Cleaning,"brief_description_optional,cleaning_frequency,location_area_block_landmark,provider_brings_supplies,service_level,size_bedroomsbathrooms_or_m²,space_type"
Facade Painting,"area_m²_or_rooms,brief_description_optional,how_many_colors,location_area_block_landmark,paint_type,wall_condition_issues"
Foam Insulation,"brief_description_optional,location_area_block_landmark,main_problem,preferred_insulation,roof_access_constraints,roof_area_m²"
Fresh Water Pump Replacement,"brief_description_optional,location_area_block_landmark,number_of_fixtures_affected_if_applicable,plumber_access_constraints,plumber_service,water_cutoff_possible"
Fridge Repair,"appliance,appliance_issue,brief_description_optional,location_area_block_landmark,on_site_visit_or_carry_in"
Full Finishing,"brief_description_optional,location_area_block_landmark,number_of_fixtures_affected_if_applicable,plumber_access_constraints,plumber_service,water_cutoff_possible"
Gas Filling,"ac_gas_issue,ac_unit_type,brief_description_optional,location_area_block_landmark,number_of_units"
Glass Tables,"brief_description_optional,dimensions_per_piece_wh_cm,glass_item,glass_thickness_mm,location_area_block_landmark,number_of_pieces,temperedsafety_glass"
Gloss Painting,"area_m²_or_rooms,brief_description_optional,how_many_colors,location_area_block_landmark,paint_type,wall_condition_issues"
Gypsum,"brief_description_optional,location_area_block_landmark,material_type,quantityspecs"
Gypsum Board,"area_or_dimensions_m²_or_lh,brief_description_optional,decoration_work_type,finishing_level,location_area_block_landmark"
Gypsum Plaster,"brief_description_optional,location_area_block_landmark,main_problem,preferred_insulation,roof_access_constraints,roof_area_m²"
Hotel Cleaning,"brief_description_optional,cleaning_frequency,location_area_block_landmark,provider_brings_supplies,service_level,size_bedroomsbathrooms_or_m²,space_type"
House Cleaning,"brief_description_optional,cleaning_frequency,location_area_block_landmark,provider_brings_supplies,service_level,size_bedroomsbathrooms_or_m²,space_type"
In-house Moving,"brief_description_optional,elevatortruck_access_available,move_from_location_area_block_landmark,size,special_items"
Insect Control,"brief_description_optional,location_area_block_landmark,location_type,severity,type_of_pest"
Installation,"brief_description_optional,elevators_service,location_area_block_landmark,number_of_floors_if_applicable,required_capacity_kg_if_known"
Insulation Materials,"brief_description_optional,location_area_block_landmark,material_type,quantityspecs"
Inter-area Moving,"brief_description_optional,elevatortruck_access_available,move_from_location_area_block_landmark,move_to_location_area_block_landmark,size,special_items"
Interlocking Tiles Installation,"brief_description_optional,garden_area_m²,gardener_frequency,location_area_block_landmark,scope"
Ironwork,"brief_description_optional,location_area_block_landmark,material_type,quantityspecs"
Irrigation Network Extension,"brief_description_optional,garden_area_m²,gardener_frequency,location_area_block_landmark,scope"
Italian Painting,"area_m²_or_rooms,brief_description_optional,how_many_colors,location_area_block_landmark,paint_type,wall_condition_issues"
Kitchens,"access_constraints,aluminum_item,aluminum_job_type,approx_dimensions_per_piece_wh_cm,brief_description_optional,location_area_block_landmark,quantity_number_of_pieces"
Lamp Installation,"brief_description_optional,electrician_service,electrician_who_supplies_materials,fault_locationroom,how_many_pointslights_if_applicable,location_area_block_landmark"
Leak Detection,"brief_description_optional,location_area_block_landmark,number_of_fixtures_affected_if_applicable,plumber_access_constraints,plumber_service,water_cutoff_possible"
Maintenance,"brief_description_optional,location_area_block_landmark,tank_capacity_liters_if_known,tank_locationaccess,tank_type,water_tanks_service"
Maintenance and Programming,"brief_description_optional,dish_type,location_area_block_landmark,number_of_tvspoints_if_applicable,satellite_service"
Manhole Cleaning,"brief_description_optional,how_many_units_vents,issues_noticed,location_area_block_landmark,systems_to_clean,when_last_cleaned"
Manhole Cover Installation,"brief_description_optional,location_area_block_landmark,number_of_fixtures_affected_if_applicable,plumber_access_constraints,plumber_service,water_cutoff_possible"
Marble,"area_m²,brief_description_optional,ceramic_service,location_area_block_landmark,remove_old_flooring,tile_size,who_supplies_tilesmaterials"
Marble Polishing,"brief_description_optional,cleaning_frequency,location_area_block_landmark,provider_brings_supplies,service_level,size_bedroomsbathrooms_or_m²,space_type"
Master Key Making,"brief_description_optional,location_area_block_landmark,locksmith_door_type,locksmith_issue,urgent"
Matte Painting,"area_m²_or_rooms,brief_description_optional,how_many_colors,location_area_block_landmark,paint_type,wall_condition_issues"
Mirror Shelves,"brief_description_optional,dimensions_per_piece_wh_cm,glass_item,glass_thickness_mm,location_area_block_landmark,number_of_pieces,temperedsafety_glass"
Mirrors,"brief_description_optional,dimensions_per_piece_wh_cm,glass_item,glass_thickness_mm,location_area_block_landmark,number_of_pieces,temperedsafety_glass"
Natural Turf Planting,"brief_description_optional,garden_area_m²,gardener_frequency,location_area_block_landmark,scope"
Netting,"brief_description_optional,location_area_block_landmark,material_type,quantityspecs"
Packaging,"brief_description_optional,elevatortruck_access_available,move_from_location_area_block_landmark,move_to_location_area_block_landmark,size,special_items"
Palm Cleaning,"brief_description_optional,garden_area_m²,gardener_frequency,location_area_block_landmark,scope"
Partition,"area_or_dimensions_m²_or_lh,brief_description_optional,decoration_work_type,finishing_level,location_area_block_landmark"
Partitions,"area_or_dimensions_m²_or_lh,brief_description_optional,decoration_work_type,finishing_level,location_area_block_landmark"
Pipe Imaging,"brief_description_optional,how_many_units_vents,issues_noticed,location_area_block_landmark,systems_to_clean,when_last_cleaned"
Pit Cleaning,"brief_description_optional,how_many_units_vents,issues_noticed,location_area_block_landmark,systems_to_clean,when_last_cleaned"
Planting Roses and Herbs,"brief_description_optional,garden_area_m²,gardener_frequency,location_area_block_landmark,scope"
Plug Replacement,"brief_description_optional,electrician_service,electrician_who_supplies_materials,fault_locationroom,how_many_pointslights_if_applicable,location_area_block_landmark"
Plugs Provision,"brief_description_optional,electrician_service,electrician_who_supplies_materials,fault_locationroom,how_many_pointslights_if_applicable,location_area_block_landmark"
Pump Installation,"brief_description_optional,location_area_block_landmark,tank_capacity_liters_if_known,tank_locationaccess,tank_type,water_tanks_service"
Railings,"brief_description_optional,dimensions_per_piece_wh_cm,glass_item,glass_thickness_mm,location_area_block_landmark,number_of_pieces,temperedsafety_glass"
Raw Awnings,"brief_description_optional,location_area_block_landmark,main_dimensions_whl_cm,material,metal_finish,metalwork_item,quantity"
Remote Sales,"brief_description_optional,dish_type,location_area_block_landmark,number_of_tvspoints_if_applicable,satellite_service"
Renovations,"area_m²_size,brief_description_optional,builders_job_type,builders_who_supplies_materials,location_area_block_landmark,target_timeline"
Repair,"brief_description_optional,carpenter_work_type,location_area_block_landmark,main_dimensions_cm,material_preference,number_of_pieces,wood_finish"
Repair and Replace Pit Machines,"brief_description_optional,location_area_block_landmark,number_of_fixtures_affected_if_applicable,plumber_access_constraints,plumber_service,water_cutoff_possible"
Reptile Control,"brief_description_optional,location_area_block_landmark,location_type,severity,type_of_pest"
Rodent Control,"brief_description_optional,location_area_block_landmark,location_type,severity,type_of_pest"
Safe Opening,"brief_description_optional,location_area_block_landmark,locksmith_door_type,locksmith_issue,urgent"
Sand,"brief_description_optional,location_area_block_landmark,material_type,quantityspecs"
Sandwich Panels,"brief_description_optional,finish,location_area_block_landmark,main_dimensions_whl_cm,material,metalwork_item,quantity"
Satellite Installation,"brief_description_optional,dish_type,location_area_block_landmark,number_of_tvspoints_if_applicable,satellite_service"
Shelves Installation,"brief_description_optional,carpenter_work_type,location_area_block_landmark,main_dimensions_cm,material_preference,number_of_pieces,wood_finish"
Shower Box,"brief_description_optional,dimensions_per_piece_wh_cm,glass_item,glass_thickness_mm,location_area_block_landmark,number_of_pieces,temperedsafety_glass"
Shutters,"access_constraints,aluminum_item,aluminum_job_type,approx_dimensions_per_piece_wh_cm,brief_description_optional,location_area_block_landmark,quantity_number_of_pieces"
Sigma,"area_m²_size,brief_description_optional,builders_job_type,builders_who_supplies_materials,location_area_block_landmark,target_timeline"
Spotlight Installation,"brief_description_optional,electrician_service,fault_locationroom,how_many_pointslights_if_applicable,location_area_block_landmark,who_supplies_materials"
Stairs,"area_m²,brief_description_optional,ceramic_service,location_area_block_landmark,remove_old_flooring,tile_size,who_supplies_tilesmaterials"
Stands Installation,"brief_description_optional,dish_type,location_area_block_landmark,number_of_tvspoints_if_applicable,satellite_service"
Stove Repair,"appliance,appliance_issue,brief_description_optional,location_area_block_landmark,on_site_visit_or_carry_in"
Surveyor,"area_m²_size,brief_description_optional,builders_job_type,builders_who_supplies_materials,location_area_block_landmark,target_timeline"
Swimming Pools,"brief_description_optional,location_area_block_landmark,main_problem,preferred_insulation,roof_access_constraints,roof_area_m²"
TV Repair,"appliance,appliance_issue,brief_description_optional,location_area_block_landmark,on_site_visit_or_carry_in"
Tailoring,"brief_description_optional,carpenter_work_type,location_area_block_landmark,main_dimensions_cm,material_preference,number_of_pieces,wood_finish"
Tank Washing,"brief_description_optional,location_area_block_landmark,tank_capacity_liters_if_known,tank_locationaccess,tank_type,water_tanks_service"
Tarpaulin Making,"brief_description_optional,location_area_block_landmark,main_problem,preferred_insulation,roof_access_constraints,roof_area_m²"
Tempered Glass,"brief_description_optional,dimensions_per_piece_wh_cm,glass_item,glass_thickness_mm,location_area_block_landmark,number_of_pieces,temperedsafety_glass"
Tile Polishing,"brief_description_optional,cleaning_frequency,location_area_block_landmark,provider_brings_supplies,service_level,size_bedroomsbathrooms_or_m²,space_type"
Tiles,"area_m²,brief_description_optional,ceramic_service,location_area_block_landmark,remove_old_flooring,tile_size,who_supplies_tilesmaterials"
Tree Sales and Planting,"brief_description_optional,garden_area_m²,gardener_frequency,location_area_block_landmark,scope"
Turkish Fence Installation,"brief_description_optional,garden_area_m²,gardener_frequency,location_area_block_landmark,scope"
Unit Installation,"ac_issue,ac_unit_type,brief_description_optional,location_area_block_landmark,number_of_units"
Wallpaper,"area_m²_or_rooms,brief_description_optional,how_many_colors,location_area_block_landmark,paint_type,wall_condition_issues"
Washing Machine Repair,"appliance,appliance_issue,brief_description_optional,location_area_block_landmark,on_site_visit_or_carry_in"
Wi-Fi Receiver,"brief_description_optional,dish_type,location_area_block_landmark,number_of_tvspoints_if_applicable,satellite_service"
Windows,"access_constraints,aluminum_item,aluminum_job_type,approx_dimensions_per_piece_wh_cm,brief_description_optional,location_area_block_landmark,quantity_number_of_pieces"
Wooden Doors,"brief_description_optional,door_type,include_lockhandle,installation_or_repair,location_area_block_landmark,quantity"
